raw_feature,coefficient,odds_ratio,feature_group,feature_label,absolute_coefficient
cat__office_location_Romania,-0.5291035563380851,0.5891328574482664,office,Office = location_Romania,0.5291035563380851
cat__office_location_Kenya,-0.3914808200842125,0.6760550170486451,office,Office = location_Kenya,0.3914808200842125
cat__engage_month_Oct,-0.3401618281276506,0.7116551476234997,engage,Engage = month_Oct,0.3401618281276506
cat__engage_year_2017,-0.3002817146846185,0.7406095507043974,engage,Engage = year_2017,0.3002817146846185
cat__engage_month_Jul,-0.2883237869481933,0.7495188685187246,engage,Engage = month_Jul,0.2883237869481933
cat__engage_month_Apr,-0.2193361422109389,0.8030517331944038,engage,Engage = month_Apr,0.2193361422109389
cat__office_location_Jordan,-0.20207388905478732,0.8170345558007872,office,Office = location_Jordan,0.20207388905478732
cat__office_location_Brazil,-0.18997886975076445,0.8269766079805849,office,Office = location_Brazil,0.18997886975076445
cat__office_location_Belgium,-0.161175107646017,0.8511430164071964,office,Office = location_Belgium,0.161175107646017
num__log_employee_count,-0.14328289418070358,0.8665089038928085,log,Log Employee Count,0.14328289418070358
cat__engage_month_Feb,-0.14067992108763216,0.8687673413052927,engage,Engage = month_Feb,0.14067992108763216
cat__office_location_Japan,-0.10194509013582535,0.9030791382602887,office,Office = location_Japan,0.10194509013582535
cat__industry_Finance,-0.09213746424220239,0.9119797763192644,industry,Industry = Finance,0.09213746424220239
cat__engage_quarter_Q3,-0.07097703572802418,0.9314832827174268,engage,Engage = quarter_Q3,0.07097703572802418
cat__industry_Employment,-0.06481361724755293,0.9372421328676408,industry,Industry = Employment,0.06481361724755293
cat__industry_Telecommunications,-0.04554010705243584,0.9554812802656532,industry,Industry = Telecommunications,0.04554010705243584
cat__engage_month_May,-0.04240093469943111,0.9584854134634216,engage,Engage = month_May,0.04240093469943111
cat__engage_quarter_Q2,-0.04200592302543407,0.9588641011792058,engage,Engage = quarter_Q2,0.04200592302543407
cat__product_MG Advanced,-0.041100454689537914,0.9597327154532657,product,Product = MG Advanced,0.041100454689537914
cat__engage_month_Mar,-0.0394747143300298,0.961294260652711,engage,Engage = month_Mar,0.0394747143300298
cat__sales_region_Central,-0.03350437361586854,0.9670506817139466,sales,Sales = region_Central,0.03350437361586854
